
"Ums�tze Girokonto";"Zeitraum: 180 Tage";
"Neuer Kontostand";"-5.323,60 EUR";

"Buchungstag";"Wertstellung (Valuta)";"Vorgang";"Buchungstext";"Umsatz in EUR";
"08.04.2025";"08.04.2025";"Lastschrift / Belastung";"Auftraggeber: Deutsche Bahn AG Buchungstext: DB Buchung 78264931 BahnCard 25 Ref. O5336213O9276018/16";"-39,90";
"07.04.2025";"07.04.2025";"Lastschrift / Belastung";"Auftraggeber: Mehmet Yilmaz Buchungstext: D�ner Haus//Dresden/DE 2025-04-07T13:15:22 KFN 7 TK 3923 Ref. P6336213P0387129/17";"-7,50";
"07.04.2025";"07.04.2025";"Auszahlung GAA";"Auftraggeber: SPARKASSE DRESDEN Buchungstext: Bargeldauszahlung Sparkasse///DE 2025-04-07T16:28:35 KFN 7 TK 3923 Ref. Q7336213P1498230/18";"-100,00";
"06.04.2025";"06.04.2025";"Lastschrift / Belastung";"Auftraggeber: Stadtwerke Dresden GmbH Buchungstext: Abschlag Gas Kd-Nr. 82736419 04/2025 Ref. R8336213P2509341/19";"-120,00";
"06.04.2025";"06.04.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: BAUHAUS>Dresden DE        2025-04-06T14:37:19                 ";"-167,89";
"05.04.2025";"05.04.2025";"�bertrag / �berweisung";"Auftraggeber: Weber MartinKto/IBAN: DE13700800000987654321 BLZ/BIC: DRESDEFFXXX  Buchungstext: Geburtstagsgeschenk Ref. S9336213P3610452/20";"50,00";
"05.04.2025";"05.04.2025";"Lastschrift / Belastung";"Auftraggeber: Thalia Buchhandlung Buchungstext: Thalia Dresden 05.04.2025 15:42 KNr.6284193 Ref. T0336213P4721563/21";"-24,99";
"04.04.2025";"04.04.2025";"Lastschrift / Belastung";"Auftraggeber: KAUFLAND Buchungstext: KAUFLAND SAGT DANKE. 37246159//Dresden 2025-04-04T17:25:43 KFN 7 TK 3923 Ref. U1336213P5832674/22";"-62,18";
"04.04.2025";"04.04.2025";"Lastschrift / Belastung";"Auftraggeber: Stadtbibliothek Dresden Buchungstext: Jahresgeb�hr 2025 Ausweis-Nr. 54623198 Ref. V2336213P6943785/23";"-20,00";
"03.04.2025";"03.04.2025";"�bertrag / �berweisung";"Empf�nger: AOK SachsenKto/IBAN: DE89850500003000883344 BLZ/BIC: OSDDDE81XXX  Buchungstext: KV-Beitrag 04/2025 Ref. W3336213P7054896/24";"-195,50";
"03.04.2025";"03.04.2025";"Lastschrift / Belastung";"Auftraggeber: Cineplex Dresden Buchungstext: Cineplex Dresden 03.04.2025 19:30 KNr.8172643 Ref. X4336213P8165907/25";"-12,50";
"02.04.2025";"02.04.2025";"Auszahlung GAA";"Auftraggeber: VOLKSBANK DRESDEN Buchungstext: Bargeldauszahlung Volksbank///DE 2025-04-02T10:45:18 KFN 7 TK 3923 Ref. Y5336213P9276018/26";"-50,00";
"02.04.2025";"02.04.2025";"Lastschrift / Belastung";"Auftraggeber: Apotheke am Markt Buchungstext: Apotheke am Markt Dresden 02.04.2025 11:24 Ref. Z6336213Q0387129/27";"-15,40";
"01.04.2025";"01.04.2025";"�bertrag / �berweisung";"Empf�nger: KFZ-SteuerstelleKto/IBAN: DE74700000000001234567 BLZ/BIC: MARKDEF1700  Buchungstext: KFZ-Steuer DD2271 04/2025-04/2026 Ref. A7336213Q1498230/28";"-142,00";
"01.04.2025";"01.04.2025";"Lastschrift / Belastung";"Auftraggeber: ROSSMANN 2478 DRESDEN Buchungstext: ROSSMANN 2478 DRESDEN 01042240525853 4392321002478 ELV71412264 01.04 09. 37 Ref. B8336213Q2509341/29";"-19,84";
"31.03.2025";"31.03.2025";"Lastschrift / Belastung";"Auftraggeber: Telekom Deutschland GmbH Buchungstext: Rechnung 54321987 04/2025 Internet+Telefon Ref. C9336213Q3610452/30";"-39,95";
"31.03.2025";"31.03.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: Media Markt>Dresden DE        2025-03-31T15:34:28                 ";"-79,99";
"30.03.2025";"30.03.2025";"Lastschrift / Belastung";"Auftraggeber: Spotify AB Buchungstext: Spotify Premium Kd-Nr. 64297531 Ref. D0336213Q4721563/31";"-9,99";
"30.03.2025";"30.03.2025";"�bertrag / �berweisung";"Auftraggeber: TU DresdenKto/IBAN: DE77850503001250013380 BLZ/BIC: OSDDDE81XXX  Buchungstext: Werkstudentent�tigkeit 03/2025 Ref. E1336213Q5832674/32";"450,00";
"29.03.2025";"29.03.2025";"Lastschrift / Belastung";"Auftraggeber: HORNBACH Baumarkt AG Buchungstext: HORNBACH Dresden 29.03.2025 11:36 KNr.7392541 Ref. F2336213Q6943785/33";"-89,75";
"29.03.2025";"29.03.2025";"Auszahlung GAA";"Auftraggeber: POSTBANK Buchungstext: Bargeldauszahlung Postbank///DE 2025-03-29T14:27:32 KFN 7 TK 3923 Ref. G3336213Q7054896/34";"-150,00";
"28.03.2025";"28.03.2025";"Lastschrift / Belastung";"Auftraggeber: REWE Dresden GmbH Buchungstext: REWE SAGT DANKE. 82751643//Dresden/D 2025-03-28T18:34:12 KFN 7 TK 3923 Ref. H4336213Q8165907/35";"-42,87";
"28.03.2025";"28.03.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: Espresso House>Dresden DE        2025-03-28T10:15:23                 ";"-5,40";
"27.03.2025";"27.03.2025";"�bertrag / �berweisung";"Empf�nger: GEZ Beitragsservice ARD ZDF DRKto/IBAN: DE46300606010023456789 BLZ/BIC: DAAEDEDDXXX  Buchungstext: Rundfunkbeitrag 04-06/2025 BeitragNr. 721498536 Ref. I5336213Q9276018/36";"-55,08";
"27.03.2025";"27.03.2025";"Lastschrift / Belastung";"Auftraggeber: PayPal (Europe) S.a r.l. et Cie, S.C.A. Buchungstext: 1053428614378 PP.9821.PP . Zalando SE, Ihr Einkauf bei Zalando SE Ref. J6336213R0387129/37";"-59,90";
"26.03.2025";"26.03.2025";"Lastschrift / Belastung";"Auftraggeber: JET DANKT FUER IHREN KAUF. Buchungstext: 260315436785342392311062262 ELV8126 2895 26.03 15:43 ME7 Ref. K7336213R1498230/38";"-65,75";
"26.03.2025";"26.03.2025";"�bertrag / �berweisung";"Auftraggeber: Krause SusanneKto/IBAN: DE24100500000098765432 BLZ/BIC: BELADEBEXXX  Buchungstext: R�ckzahlung Konzerttickets Ref. L8336213R2509341/39";"68,00";
"25.03.2025";"25.03.2025";"Lastschrift / Belastung";"Auftraggeber: ALDI NORD Buchungstext: ALDI SAGT DANKE. 37194265//Dresden/D 2025-03-25T09:23:45 KFN 7 TK 3923 Ref. M9336213R3610452/40";"-29,87";
"25.03.2025";"25.03.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: Ristorante Da Marco>Dresden DE        2025-03-25T19:42:15                 ";"-45,80";
"24.03.2025";"24.03.2025";"Lastschrift / Belastung";"Auftraggeber: DM 2487 DRESDEN Buchungstext: DM 2487 DRESDEN 24032240625854 4392321004873 ELV71412264 24.03 14. 23 Ref. N0336213R4721563/41";"-22,85";
"24.03.2025";"24.03.2025";"Auszahlung GAA";"Auftraggeber: DEUTSCHE BANK Buchungstext: Bargeldauszahlung Deutsche Bank///DE 2025-03-24T13:15:47 KFN 7 TK 3923 Ref. O1336213R5832674/42";"-70,00";
"23.03.2025";"23.03.2025";"Lastschrift / Belastung";"Auftraggeber: Penny Dresden Buchungstext: PENNY SAGT DANKE. 48413287//Dresden 2025-03-23T11:42:38 KFN 7 TK 3923 Ref. P2336213R6943785/43";"-15,67";
"23.03.2025";"23.03.2025";"�bertrag / �berweisung";"Empf�nger: Verein f�r Kulturf�rdererungKto/IBAN: DE13760501010012345678 BLZ/BIC: SSKNDE77XXX  Buchungstext: Spende 2025 Ref. Q3336213R7054896/44";"-30,00";
"22.03.2025";"22.03.2025";"Lastschrift / Belastung";"Auftraggeber: EDEKA Stefan M�ller oHG Buchungstext: EDEKA SAGT DANKE. 53766597//Dresden/D 2025-03-22T16:45:37 KFN 7 TK 3923 Ref. R4336213R8165907/45";"-93,56";
"22.03.2025";"22.03.2025";"Lastschrift / Belastung";"Auftraggeber: Shell Deutschland Oil GmbH Buchungstext: Shell Tankstelle//Dresden/DE 2025-03-22T10:34:29 KFN 7 TK 3923 Ref. S5336213R9276018/46";"-53,45";
"21.03.2025";"21.03.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: IKEA>Dresden DE        2025-03-21T11:24:35                 ";"-213,45";
"21.03.2025";"21.03.2025";"Lastschrift / Belastung";"Auftraggeber: KAUFLAND Buchungstext: KAUFLAND SAGT DANKE. 37246159//Dresden 2025-03-21T18:37:42 KFN 7 TK 3923 Ref. T6336213S0387129/47";"-45,28";
"20.03.2025";"20.03.2025";"�bertrag / �berweisung";"Empf�nger: Allianz VersicherungKto/IBAN: DE86300500000001987654 BLZ/BIC: WELADEDDXXX  Buchungstext: Lebensversicherung-Nr. 982561473 Ref. U7336213S1498230/48";"-75,00";
"20.03.2025";"20.03.2025";"Lastschrift / Belastung";"Auftraggeber: Augenoptiker Sehen & Co. Buchungstext: Augenoptiker Sehen & Co. 20.03.2025 15:27 KNr.6192483 Ref. V8336213S2509341/49";"-149,00";
"19.03.2025";"19.03.2025";"Auszahlung GAA";"Auftraggeber: VOLKSBANK DRESDEN Buchungstext: Bargeldauszahlung Volksbank///DE 2025-03-19T16:45:18 KFN 7 TK 3923 Ref. W9336213S3610452/50";"-120,00";
"19.03.2025";"19.03.2025";"Lastschrift / Belastung";"Auftraggeber: Hugendubel GmbH & Co. KG Buchungstext: Hugendubel Dresden 19.03.2025 14:32 KNr.4821937 Ref. X0336213S4721563/51";"-27,90";
"18.03.2025";"18.03.2025";"Lastschrift / Belastung";"Auftraggeber: ROSSMANN 2478 DRESDEN Buchungstext: ROSSMANN 2478 DRESDEN 18032240525854 4392321002478 ELV71412265 18.03 10. 48 Ref. Y1336213S5832674/52";"-17,85";
"18.03.2025";"18.03.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: McDonalds>Dresden DE        2025-03-18T12:37:42                 ";"-8,95";
"17.03.2025";"17.03.2025";"�bertrag / �berweisung";"Empf�nger: Autoversicherung HUK24Kto/IBAN: DE86300500001234567890 BLZ/BIC: WELADEDDXXX  Buchungstext: Versicherung-Nr. 621984375 1.Quartal 2025 Ref. Z2336213S6943785/53";"-125,80";
"17.03.2025";"17.03.2025";"Lastschrift / Belastung";"Auftraggeber: MediaMarkt E-Business GmbH Buchungstext: MediaMarkt 17.03.2025 15:38 BestNr.739428156 Ref. A3336213S7054896/54";"-199,00";
"16.03.2025";"16.03.2025";"Lastschrift / Belastung";"Auftraggeber: Amazon Digital Germany GmbH Buchungstext: Amazon Prime 9851426374 Jahresgeb�hr Ref. B4336213S8165907/55";"-69,90";
"16.03.2025";"16.03.2025";"Auszahlung GAA";"Auftraggeber: SPARKASSE DRESDEN Buchungstext: Bargeldauszahlung Sparkasse///DE 2025-03-16T13:24:17 KFN 7 TK 3923 Ref. C5336213S9276018/56";"-50,00";
"15.03.2025";"15.03.2025";"Lastschrift / Belastung";"Auftraggeber: REWE Dresden GmbH Buchungstext: REWE SAGT DANKE. 82751643//Dresden/D 2025-03-15T17:23:31 KFN 7 TK 3923 Ref. D6336213T0387129/57";"-67,45";
"15.03.2025";"15.03.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: H&M>Dresden DE        2025-03-15T14:32:18                 ";"-54,97";
"14.03.2025";"14.03.2025";"�bertrag / �berweisung";"Empf�nger: Stadtwerke Dresden GmbHKto/IBAN: DE24850503000387654321 BLZ/BIC: OSDDDE81XXX  Buchungstext: Jahresabrechnung Wasser 2024 Kd-Nr. 56291843 Ref. E7336213T1498230/58";"-235,67";
"14.03.2025";"14.03.2025";"Lastschrift / Belastung";"Auftraggeber: EDEKA Stefan M�ller oHG Buchungstext: EDEKA SAGT DANKE. 53766597//Dresden/D 2025-03-14T10:12:35 KFN 7 TK 3923 Ref. F8336213T2509341/59";"-45,28";
"13.03.2025";"13.03.2025";"Lastschrift / Belastung";"Auftraggeber: PKV Versicherung AG Buchungstext: Krankenversicherung M�rz 2025 VS-Nr. 63184295 Ref. G9336213T3610452/60";"-175,40";
"13.03.2025";"13.03.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: ZARA>Dresden DE        2025-03-13T16:45:23                 ";"-89,95";
"12.03.2025";"12.03.2025";"Auszahlung GAA";"Auftraggeber: COMMERZBANK Buchungstext: Bargeldauszahlung Commerzbank///DE 2025-03-12T12:15:47 KFN 7 TK 3923 Ref. H0336213T4721563/61";"-100,00";
"12.03.2025";"12.03.2025";"Lastschrift / Belastung";"Auftraggeber: DM 2487 DRESDEN Buchungstext: DM 2487 DRESDEN 12032240625855 4392321004874 ELV71412266 12.03 14. 27 Ref. I1336213T5832674/62";"-24,85";
"11.03.2025";"11.03.2025";"�bertrag / �berweisung";"Empf�nger: T�V Sachsen GmbHKto/IBAN: DE96850400000152738496 BLZ/BIC: COBADEFFXXX  Buchungstext: Hauptuntersuchung DD 2271 Ref. J2336213T6943785/63";"-115,00";
"11.03.2025";"11.03.2025";"Lastschrift / Belastung";"Auftraggeber: JET DANKT FUER IHREN KAUF. Buchungstext: 110317456987342392311062263 ELV8127 2896 11.03 17:45 ME8 Ref. K3336213T7054896/64";"-57,80";
"10.03.2025";"10.03.2025";"Lastschrift / Belastung";"Auftraggeber: ALDI S�D Buchungstext: ALDI SAGT DANKE. 62487539//Dresden/D 2025-03-10T11:25:38 KFN 7 TK 3923 Ref. L4336213T8165907/65";"-32,19";
"10.03.2025";"10.03.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: Apotheke am Markt>Dresden DE        2025-03-10T15:12:34                 ";"-12,80";
"09.03.2025";"09.03.2025";"Lastschrift / Belastung";"Auftraggeber: Cineplex Dresden Buchungstext: Cineplex Dresden 09.03.2025 20:15 KNr.8172644 Ref. M5336213T9276018/66";"-15,50";
"09.03.2025";"09.03.2025";"�bertrag / �berweisung";"Auftraggeber: M�ller PeterKto/IBAN: DE35700400000987654321 BLZ/BIC: COBADEFFXXX  Buchungstext: Anteil Wochenendausflug Ref. N6336213U0387129/67";"75,00";
"08.03.2025";"08.03.2025";"Lastschrift / Belastung";"Auftraggeber: EDEKA Stefan M�ller oHG Buchungstext: EDEKA SAGT DANKE. 53766597//Dresden/D 2025-03-08T17:32:46 KFN 7 TK 3923 Ref. O7336213U1498230/68";"-124,37";
"08.03.2025";"08.03.2025";"Auszahlung GAA";"Auftraggeber: DEUTSCHE BANK Buchungstext: Bargeldauszahlung Deutsche Bank///DE 2025-03-08T10:27:35 KFN 7 TK 3923 Ref. P8336213U2509341/69";"-150,00";
"07.03.2025";"07.03.2025";"Lastschrift / Belastung";"Auftraggeber: Mehmet Yilmaz Buchungstext: D�ner Haus//Dresden/DE 2025-03-07T12:45:22 KFN 7 TK 3923 Ref. Q9336213U3610452/70";"-8,50";
"07.03.2025";"07.03.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: Douglas>Dresden DE        2025-03-07T15:42:28                 ";"-45,90";
"06.03.2025";"06.03.2025";"�bertrag / �berweisung";"Empf�nger: DSL AnbieterKto/IBAN: DE73700500000000012345 BLZ/BIC: BYLADEMMXXX  Buchungstext: Internet M�rz 2025 Kd-Nr. 83654729 Ref. R0336213U4721563/71";"-34,99";
"06.03.2025";"06.03.2025";"Lastschrift / Belastung";"Auftraggeber: KAUFLAND Buchungstext: KAUFLAND SAGT DANKE. 37246159//Dresden 2025-03-06T18:23:15 KFN 7 TK 3923 Ref. S1336213U5832674/72";"-78,45";
"05.03.2025";"05.03.2025";"Lastschrift / Belastung";"Auftraggeber: ROSSMANN 2478 DRESDEN Buchungstext: ROSSMANN 2478 DRESDEN 05032240525855 4392321002479 ELV71412267 05.03 09. 37 Ref. T2336213U6943785/73";"-15,95";
"05.03.2025";"05.03.2025";"Auszahlung GAA";"Auftraggeber: SPARKASSE DRESDEN Buchungstext: Bargeldauszahlung Sparkasse///DE 2025-03-05T15:42:21 KFN 7 TK 3923 Ref. U3336213U7054896/74";"-80,00";
"04.03.2025";"04.03.2025";"Lastschrift / Belastung";"Auftraggeber: PayPal (Europe) S.a r.l. et Cie, S.C.A. Buchungstext: 1053329725489 PP.9821.PP . OTTO GmbH, Ihr Einkauf bei OTTO GmbH Ref. V4336213U8165907/75";"-75,90";
"04.03.2025";"04.03.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: Cafe Central>Dresden DE        2025-03-04T10:24:37                 ";"-6,75";
"03.03.2025";"03.03.2025";"�bertrag / �berweisung";"Empf�nger: Fitness First GmbHKto/IBAN: DE86300500001234987654 BLZ/BIC: WELADEDDXXX  Buchungstext: Mitgliedsbeitrag M�rz 2025 KdNr. 37294615 Ref. W5336213U9276018/76";"-39,90";
"03.03.2025";"03.03.2025";"Lastschrift / Belastung";"Auftraggeber: Shell Deutschland Oil GmbH Buchungstext: Shell Tankstelle//Dresden/DE 2025-03-03T17:45:26 KFN 7 TK 3923 Ref. X6336213V0387129/77";"-49,75";
"02.03.2025";"02.03.2025";"Lastschrift / Belastung";"Auftraggeber: EDEKA Stefan M�ller oHG Buchungstext: EDEKA SAGT DANKE. 53766597//Dresden/D 2025-03-02T11:23:45 KFN 7 TK 3923 Ref. Y7336213V1498230/78";"-42,85";
"02.03.2025";"02.03.2025";"Auszahlung GAA";"Auftraggeber: VOLKSBANK DRESDEN Buchungstext: Bargeldauszahlung Volksbank///DE 2025-03-02T14:28:36 KFN 7 TK 3923 Ref. Z8336213V2509341/79";"-100,00";
"01.03.2025";"01.03.2025";"Lastschrift / Belastung";"Auftraggeber: Vattenfall Europe Sales GmbH Buchungstext: Abschlag Strom Kd-Nr. 72638491 03/2025 Ref. A9336213V3610452/80";"-95,00";
"01.03.2025";"01.03.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: Saturn>Dresden DE        2025-03-01T16:42:18                 ";"-129,95";
"28.02.2025";"28.02.2025";"Gehalt / Rente";"Auftraggeber: Technische Universit�t Dresden Buchungstext: LOHN / GEHALT 02/2025 Ref. B0336213V4721563/81";"2.450,50";
"28.02.2025";"28.02.2025";"Dauerauftrag / Terminueberweisung";"Empf�nger: Wohnungsgenossenschaft DresdenKto/IBAN: DE98850503003105723401 BLZ/BIC: OSDDDE81XXX  Buchungstext: Miete M�rz 2025 Schmidt Ref. C1336213V5832674/82";"-785,00";
"27.02.2025";"27.02.2025";"Lastschrift / Belastung";"Auftraggeber: REWE Dresden GmbH Buchungstext: REWE SAGT DANKE. 82751643//Dresden/D 2025-02-27T16:23:41 KFN 7 TK 3923 Ref. D2336213V6943785/83";"-65,28";
"27.02.2025";"27.02.2025";"�bertrag / �berweisung";"Empf�nger: Stadtwerke Dresden GmbHKto/IBAN: DE24850503000387654321 BLZ/BIC: OSDDDE81XXX  Buchungstext: Abschlag Gas Kd-Nr. 82736419 03/2025 Ref. E3336213V7054896/84";"-120,00";
"26.02.2025";"26.02.2025";"Lastschrift / Belastung";"Auftraggeber: DM 2487 DRESDEN Buchungstext: DM 2487 DRESDEN 26022240625856 4392321004875 ELV71412268 26.02 11. 36 Ref. F4336213V8165907/85";"-22,85";
